,2001,2002,2003,2004,2005,2006,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,3756.901126,3433.082035,3317.646525,3535.025082,3930.803972,2151.349362,2024.799399,2113.7264,2156.479766,2400.17395,1910.985968,1981.677849,1990.13014,2000.8876,2088.868257,2859.004345,2763.784595,3097.198431,3291.496887,1778.689493
Albania,1458.398518,1332.694576,1287.883448,1372.268039,1525.906191,676.0680021,636.2992961,664.2448733,677.6802469,754.2618767,554.0859954,574.5829442,577.0336663,580.1527672,605.6625567,675.7442544,653.2384478,732.0429743,777.9666769,420.4048192
Algeria,3853.942853,3521.75943,3403.342192,3626.335693,4032.337653,4557.60961,4289.514927,4477.905785,4568.478313,5084.741723,3737.582085,3875.844068,3892.375392,3913.415259,4085.491314,3534.7486,3417.023043,3829.241405,4069.463564,2199.094312
Angola,252.3084889,230.5612289,222.8087334,237.4075885,263.987573,99.74773801,93.88022401,98.00334196,99.9856102,111.2845392,47.74688938,49.51315952,49.72434399,49.99312423,52.1913626,81.94240958,79.21330014,88.76933077,94.33815185,50.97932193
Argentina,1139.547131,1041.32599,1006.311972,1072.24746,1192.295522,519.6734005,489.1043769,510.5853124,520.9126852,579.7787103,243.176018,252.1716729,253.2472403,254.6161443,265.8118235,335.6271297,324.4489965,363.5894507,386.3987316,208.8057159
Armenia,203.7876257,186.222531,179.9609001,191.752283,213.220732,247.5221647,232.9620374,243.1934782,248.1124401,276.1505232,256.5007313,265.9892988,267.1238014,268.5677139,280.3768549,216.642261,209.4269442,234.6915183,249.4145659,134.780947
Australia,493.5264948,450.9878983,435.8236764,464.3796787,516.3712966,630.5042205,593.415737,619.4779146,632.0078077,703.4281983,1102.620027,1143.408544,1148.285432,1154.49238,1205.25635,1465.983382,1417.158493,1588.119808,1687.748306,912.0410198
Austria,106.7458992,97.5451353,94.26523337,100.4416721,111.6870501,77.58157401,73.01795201,76.22482152,77.76658571,86.55464159,91.05220766,94.42044373,94.82316761,95.33572527,99.52771473,84.18740711,81.38352754,91.20136723,96.92275875,52.37601568
Azerbaijan,309.1472144,282.5008464,273.0019096,290.8895178,323.457301,262.2996074,246.8702187,257.7124918,262.9251231,292.6371216,146.5718465,151.993885,152.6421722,153.4672651,160.2153457,278.3796928,269.1081977,301.572521,320.4912556,173.1900252
Bahrain,79.01969158,72.20873652,69.78075717,74.35292608,82.67742671,103.4420987,97.35726934,101.6330954,103.6887809,115.4061888,115.4808487,119.7527579,120.2635296,120.9136028,126.2302723,96.53489348,93.31977825,104.5775678,111.1380967,60.05783132
Bangladesh,3284.169287,3001.096435,2900.186206,3090.211963,3436.189892,3312.610065,3117.750649,3254.678887,3320.509771,3695.745808,2706.027196,2806.129529,2818.098286,2833.33125,2957.915132,2960.029234,2861.444828,3206.640072,3407.804198,1841.540711
Belarus,708.4046035,647.3449888,625.5783669,666.5674601,741.195878,562.774275,529.6699058,552.9324355,564.116344,627.8646223,322.0139051,333.9259595,335.3502269,337.1629308,351.9882594,313.1771544,302.7467225,339.2690861,360.5526626,194.8387783
Belgium,368.7585607,336.9741038,325.6435335,346.9803217,385.8279913,354.658624,333.796352,348.456327,355.5043918,395.6783616,304.2476207,315.5024583,316.8481454,318.5608381,332.5682175,405.2220529,391.7260459,438.9825809,466.5215455,252.1032222
Benin,63.77027742,58.27371719,56.31429526,60.00411578,66.72213383,187.1809405,176.1702969,183.9075059,187.6273179,208.8302464,304.2476207,315.5024583,316.8481454,318.5608381,332.5682175,277.2571941,268.023084,300.3565027,319.1989522,172.4916783
Bhutan,9.70417265,8.867739573,8.56956667,9.131061097,10.15336819,291.8544927,274.6865814,286.7505191,292.5504891,325.6103184,571.8522798,593.0064454,595.5357478,598.7548599,625.0825986,33.67496284,32.55341102,36.48054689,38.7691035,20.95040627
Bolivia,155.2667624,141.8838332,137.1130667,146.0969776,162.4538911,157.6260551,148.3539342,154.8694786,158.0019519,175.8570496,98.82495709,102.4807255,102.9178283,103.4741408,108.0239831,134.6998514,130.2136441,145.9221876,155.076414,83.80162509
Bosnia and Herzegonia,514.3211505,469.9901974,454.1870335,483.9462382,538.1285142,246.2907111,231.8030222,241.9835604,246.8780499,274.77664,194.3187359,201.5070445,202.3665162,203.4603893,212.4067083,167.2523154,161.6819414,181.1867162,192.5532141,104.0536845
Botswana,18.02203492,16.46865921,15.91490953,16.95768489,18.85625521,30.78633889,28.97537778,30.24794505,30.85975623,34.34708,89.94181488,93.2689749,93.66678751,94.17309447,98.31396211,101.0248885,97.66023305,109.4416407,116.3073105,62.85121882
Brazil,878.9207801,803.1638413,776.1578956,827.0132479,919.605062,2025.741099,1906.579858,1990.314784,2030.57196,2260.037864,1746.647837,1811.260463,1818.985886,1828.818242,1909.232869,4466.422572,4317.667415,4838.536536,5142.075428,2778.722219
Bulgaria,1649.709351,1507.515727,1456.826334,1552.280387,1726.072593,966.6910412,909.8268623,949.7854745,968.9963458,1078.498312,387.5270789,401.8626203,403.5766524,405.7581478,423.5996639,230.1122461,222.4483086,249.2837371,264.9222073,143.1611095
Burkina Faso,67.92920855,62.07417701,59.98696669,63.91742768,71.07357734,140.3857053,132.1277227,137.9306294,140.7204884,156.6226848,219.8577697,227.9908275,228.9632584,230.2008976,240.3230185,223.3772535,215.9376264,241.9876277,257.1683866,138.9710283
